source,campaign,influencer_id,user_id,product,date,orders,revenue
Facebook,Gritzo_Campaign_Jan_2025,1,10001,Peanut Butter,2025-01-31,3,1778.95
Facebook,Gritzo_Campaign_Jun_2025,1,10002,Chia Seeds,2025-06-26,1,545.35
Facebook,Gritzo_Campaign_Jun_2025,1,10003,Oats,2025-06-21,1,369.89
Facebook,Gritzo_Campaign_Jun_2025,1,10004,Oats,2025-06-22,2,858.91
Facebook,Gritzo_Campaign_Mar_2025,1,10005,Oats,2025-03-20,2,851.61
Facebook,HKVitals_Campaign_May_2025,1,10006,Probiotics,2025-05-21,3,2544.69
Facebook,HKVitals_Campaign_May_2025,1,10007,Multivitamins,2025-05-20,3,2528.09
Facebook,HKVitals_Campaign_May_2025,1,10008,Multivitamins,2025-05-18,3,2601.8
Facebook,MuscleBlaze_Campaign_Jul_2025,1,10009,Mass Gainer,2025-07-02,2,3307.9
Facebook,HKVitals_Campaign_Jun_2025,1,10010,Multivitamins,2025-06-27,2,1658.02
Facebook,HKVitals_Campaign_Jun_2025,1,10011,Probiotics,2025-06-24,2,1761.9
Twitter,MuscleBlaze_Campaign_Jul_2025,2,10012,Protein Powder,2025-07-07,1,1396.13
Twitter,MuscleBlaze_Campaign_Jul_2025,2,10013,Protein Powder,2025-07-09,1,1599.21
Twitter,MuscleBlaze_Campaign_Jul_2025,2,10014,BCAA,2025-07-09,2,2377.95
Twitter,Gritzo_Campaign_Feb_2025,2,10015,Chia Seeds,2025-02-20,2,991.28
Twitter,Gritzo_Campaign_Feb_2025,2,10016,Oats,2025-02-20,2,819.58
Twitter,MuscleBlaze_Campaign_May_2025,2,10017,Mass Gainer,2025-05-27,2,3333.11
Twitter,MuscleBlaze_Campaign_May_2025,2,10018,Protein Powder,2025-05-28,2,2869.77
Twitter,MuscleBlaze_Campaign_Feb_2025,2,10019,BCAA,2025-02-12,1,1211.32
Twitter,HKVitals_Campaign_Feb_2025,2,10020,Omega 3,2025-02-28,1,979.77
Twitter,HKVitals_Campaign_Mar_2025,2,10021,Multivitamins,2025-03-02,1,874.41
Twitter,HKVitals_Campaign_Feb_2025,2,10022,Omega 3,2025-02-28,1,904.1
Twitter,MuscleBlaze_Campaign_Jun_2025,2,10023,Protein Powder,2025-06-07,1,1583.85
Twitter,HKVitals_Campaign_May_2025,2,10024,Probiotics,2025-05-06,2,1675.49
Twitter,HKVitals_Campaign_May_2025,2,10025,Omega 3,2025-05-03,1,1060.22
Twitter,HKVitals_Campaign_Jun_2025,2,10026,Omega 3,2025-06-18,2,2041.41
Twitter,HKVitals_Campaign_Jun_2025,2,10027,Omega 3,2025-06-18,1,919.22
Twitter,HKVitals_Campaign_Jun_2025,2,10028,Omega 3,2025-06-16,2,1879.95
Twitter,MuscleBlaze_Campaign_Mar_2025,2,10029,Mass Gainer,2025-03-26,1,1716.65
Twitter,MuscleBlaze_Campaign_Mar_2025,2,10030,BCAA,2025-03-25,1,1101.65
Twitter,HKVitals_Campaign_Jun_2025,3,10031,Omega 3,2025-06-11,1,937.27
Twitter,HKVitals_Campaign_Jun_2025,3,10032,Probiotics,2025-06-08,2,1653.46
Twitter,MuscleBlaze_Campaign_Mar_2025,3,10033,Mass Gainer,2025-03-01,1,1863.52
Twitter,MuscleBlaze_Campaign_Mar_2025,3,10034,BCAA,2025-03-04,3,3753.82
Twitter,MuscleBlaze_Campaign_Mar_2025,3,10035,Mass Gainer,2025-03-02,1,1846.64
Twitter,Gritzo_Campaign_Jul_2025,3,10036,Oats,2025-07-23,1,397.46
Twitter,Gritzo_Campaign_Jul_2025,3,10037,Oats,2025-07-26,3,1152.09
Twitter,Gritzo_Campaign_Jul_2025,3,10038,Oats,2025-07-29,1,432.23
Twitter,MuscleBlaze_Campaign_May_2025,3,10039,BCAA,2025-05-08,1,1150.92
Twitter,HKVitals_Campaign_Jun_2025,3,10040,Probiotics,2025-06-08,1,975.11
Twitter,HKVitals_Campaign_May_2025,3,10041,Multivitamins,2025-05-17,1,787.99
Twitter,HKVitals_Campaign_May_2025,3,10042,Multivitamins,2025-05-16,2,1651.47
Twitter,HKVitals_Campaign_May_2025,3,10043,Probiotics,2025-05-13,1,873.98
Twitter,Gritzo_Campaign_Jun_2025,3,10044,Oats,2025-06-15,1,361.3
Twitter,Gritzo_Campaign_Jun_2025,3,10045,Chia Seeds,2025-06-17,1,545.92
Twitter,Gritzo_Campaign_Jun_2025,3,10046,Oats,2025-06-13,3,1090.86
Twitter,HKVitals_Campaign_Mar_2025,3,10047,Probiotics,2025-03-02,1,866.51
Twitter,HKVitals_Campaign_Mar_2025,3,10048,Probiotics,2025-03-05,1,946.32
YouTube,MuscleBlaze_Campaign_May_2025,4,10049,BCAA,2025-05-09,2,2323.84
YouTube,MuscleBlaze_Campaign_May_2025,4,10050,Protein Powder,2025-05-08,2,2811.05
YouTube,HKVitals_Campaign_Mar_2025,4,10051,Probiotics,2025-03-01,1,966.89
